Gene	Mono_A375_1	Mono_A375_2	Mono_A375_3	CC_A375_1	CC_A375_2	CC_A375_3
ABCB4	458.6300259	466.0094229	389.3842411	54.72249865	39.02653305	43.08117109
ABCB5	10.89617772	4.017322611	2.942450184	0	0	0
ABCB6	36.6507796	42.18188742	37.27103567	25.86881754	18.5376032	22.56632771
ABCB7	498.2524903	529.282254	476.6769299	592.9928944	531.7365128	583.6472941
ABCB8	514.1014761	567.4468188	542.3916506	591.9979399	602.9599357	534.41167
ABCB9	1413.531419	1410.080237	1368.239336	1229.763788	1129.818132	1201.14408
ABCC1	1254.050999	1250.391663	1380.989953	1501.386372	1475.202949	1449.373685
ABCC10	406.1302605	414.7885596	381.5377072	491.5075333	494.6613064	456.4552651
ABCC11	0	2.008661306	2.942450184	4.974772604	1.951326653	2.051484338
ABCC12	0	0	0	0	0	0
ABCC13	0	0	0	0.994954521	0	0
ABCC2	1526.455442	1487.413697	1392.759754	865.6104331	802.9709176	859.5719375
ABCC3	2668.57298	2595.190407	2750.210106	2808.756612	2720.149354	3005.424555
ABCC4	561.6484334	522.2519395	578.6818696	986.9948847	1003.957563	964.1976387
ABCC5	530.9410235	563.4294962	546.3149175	502.452033	427.3405369	451.3265543
ABCC5-AS1	0	1.004330653	0	0	0	0
ABCC6	4.952808055	9.038975875	5.884900369	9.949545208	4.878316632	4.102968675
ABCC6P1	0	0	0.980816728	0	0	2.051484338
ABCC6P2	0.990561611	2.008661306	0.980816728	2.984863563	0	1.025742169
ABCC8	0	0	0	0	0	0
ABCC9	16.83954739	23.09960501	24.5204182	22.88395398	29.26989979	28.72078073
ABCD1	608.2048291	587.5334319	586.5284034	366.1432637	324.8958877	338.4949157
ABCD1P2	0	0	0	0	0	1.025742169
ABCD1P3	0	0	0	0	0	0
ABCD1P4	0	0	0	0	0	0
ABCD1P5	0	0	0	0	0	0
ABCD2	4.952808055	4.017322611	0.980816728	0.994954521	0	0
ABCD3	900.4205043	850.6680629	818.0011512	616.8718029	690.769635	705.7106122
ABCD4	419.0075614	386.6673013	410.9622091	305.4510379	290.7476712	283.1048386
ABCE1	1450.182198	1414.097559	1436.896507	2306.304579	2504.527759	2313.048591
ABCF1	1697.822601	1589.855423	1647.772103	1762.064456	1940.594356	2096.616993
ABCF2	1365.984461	1361.872365	1348.623001	1987.919133	2039.136352	2045.329885
ABCF2P1	0	0	0.980816728	0	0.975663326	0
ABCF2P2	0	0	0	0	0	0
ABCF3	733.0155921	666.8755535	751.3056137	726.3168002	710.2829016	737.5086194
ABCG1	36.6507796	17.0736211	16.67388438	73.62663454	62.44245288	111.8058964
ABCG2	17.830109	10.04330653	28.44368511	15.91927233	23.41591983	15.38613253
ABCG4	9.905616109	6.025983917	2.942450184	2.984863563	2.926989979	0
ABCG5	2.971684833	2.008661306	2.942450184	1.989909042	0.975663326	2.051484338
ABCG8	0	1.004330653	0	0	0	0
ABHD1	19.81123222	10.04330653	6.865717097	19.89909042	15.61061322	16.4118747
ABHD10	988.5804877	996.2960076	994.5481623	952.1714764	1024.446493	1082.157988
ABHD11	240.7064715	215.9310904	215.7796802	339.2794916	380.5086973	419.5285471
ABHD11-AS1	36.6507796	38.16456481	40.21348585	31.83854467	29.26989979	32.8237494
ABHD12	1413.531419	1327.725123	1380.989953	1033.757747	1044.935422	998.0471303
ABHD12B	2.971684833	6.025983917	4.90408364	3.979818083	8.780969937	2.051484338
ABHD13	937.0712839	860.7113695	1069.090234	641.7456659	652.7187653	654.4235037
ABHD14A	151.5559265	116.5023557	108.8706568	81.58627071	98.54199596	77.95640483
ABHD14A-ACY1	4.952808055	3.012991958	3.923266912	6.964681646	9.756633263	8.205937351
ABHD14B	1710.699902	1742.513683	1610.501068	2543.103755	2471.355206	2635.131632
ABHD15	395.2340828	388.6759626	390.3650578	256.6982664	243.9158316	264.6414796
ABHD15-AS1	0	0	0	0	0	0
ABHD16A	35.66021799	38.16456481	35.30940221	23.8789085	34.14821642	29.7465229
ABHD16B	86.17886015	91.39408941	83.36942189	127.3541787	151.2278156	178.4791374
ABHD17A	295.1873601	339.4637606	315.8229864	255.7033119	204.8892985	243.100894
ABHD17AP1	0	0	0	0	0	0
ABHD17AP3	0.990561611	0	0	0.994954521	0.975663326	0
ABHD17AP4	0	0	0	0	0	0
ABHD17AP6	0	0	0	0	0	0
ABHD17AP7	0	0	0	0	0	0
ABHD17AP8	0	0	0	0	0	0
ABHD17AP9	0	0	0	0	0	0
ABHD17B	429.9037391	411.7755676	377.6144403	337.2895826	281.9667013	309.774135
ABHD17C	1547.257236	1481.387713	1501.630411	506.4318511	501.4909497	449.27507
ABHD18	184.2444596	176.7621949	166.7388438	159.1927233	171.7167454	188.7365591
ABHD2	1889.991554	1806.790844	1802.741146	1378.012011	1427.395446	1588.87462
ABHD3	169.3860355	179.7751869	177.5278278	38.80322631	42.92918636	37.95246025
ABHD4	512.1203528	471.0310762	496.2932644	305.4510379	314.1635911	325.1602675
ABHD5	327.8758932	271.1692763	291.3025682	347.2391278	330.7498676	337.4691736
ABHD6	469.5262036	469.0224149	547.2957343	240.778994	240.0131783	245.1523784
ABHD8	882.5903953	844.642079	807.2121672	482.5529426	404.9002804	348.7523374
ABI1	664.6668409	738.1830298	677.7443591	785.0191169	761.0173945	770.3323688
ABI2	780.5625494	833.5944418	763.0754145	931.2774315	893.7076069	890.3442026
ABI3	2.971684833	0	0	0.994954521	0.975663326	0
ABI3BP	10.89617772	13.05629849	9.808167281	56.71240769	39.02653305	32.8237494
ABL1	2085.132191	2005.648314	2113.660049	2425.699122	2375.7402	2384.850543
ABL2	3119.278513	3300.230525	3274.947055	3721.129908	3871.432079	3988.085553
ABLIM1	658.7234713	680.9361826	588.4900369	931.2774315	936.6367933	1087.286699
ABLIM2	4.952808055	8.034645222	8.827350553	15.91927233	24.39158316	24.61781205
ABLIM3	783.5342342	810.4948368	796.4231832	1936.181498	1832.295727	1755.044851
ABO	0	0	0	0	0	0
ABR	5225.212498	5056.804837	5223.829894	3466.421551	3419.699959	3729.598526
ABRA	0	0	0	0	0	0
ABRACL	721.1288528	792.4168851	695.3990602	415.8909897	414.6569137	397.9879615
ABT1	715.1854831	649.8019324	720.9002951	733.2814819	731.7474947	658.5264724
ABT1P1	0	0	0	0	0	0
ABTB1	752.8268243	722.1137394	729.7276457	498.4722149	385.3870139	422.6057736
ABTB2	790.4681655	795.429877	805.2505338	542.2502139	505.393603	504.6651471
AC000032	0	0	0	0	0	0
AC000036	0	0	0	0	0	0
AC000041	0	0	0	0	0	0
AC000067	0	0	0	0	0	0
AC000068	10.89617772	16.06929044	14.71225092	24.87386302	5.853979958	15.38613253
AC000077	0	0	0	0	0	0
AC000078	2.971684833	1.004330653	1.961633456	0.994954521	2.926989979	0
AC000081	0	0	0	0	0	0
AC000089	3.962246444	2.008661306	2.942450184	1.989909042	3.902653305	1.025742169
AC000095	0	0	0	0	0	0
AC000099	0	0	0	0	0	0
AC000111	0	0	0	0.994954521	0	0
AC000120	0	1.004330653	2.942450184	0	0.975663326	2.051484338
AC000123	4.952808055	7.03031457	10.78898401	6.964681646	6.829643284	8.205937351
AC000124	0	0	0	0	0	0
AC000362	0	0	0	0	0	0
AC000367	0	0	0	0	0	0
AC000370	0	0	0	0	0	0
AC000374	0	0	0	0	0	0
AC002044	0.990561611	0	0	0	1.951326653	1.025742169
AC002056	0	0	2.942450184	0.994954521	0	1.025742169
AC002059	0	0	0	0.994954521	0	0
AC002064	1.981123222	1.004330653	1.961633456	1.989909042	1.951326653	1.025742169
AC002066	0.990561611	1.004330653	0	5.969727125	5.853979958	6.154453013
AC002069	0	0	0.980816728	0.994954521	0.975663326	0
AC002075	3.962246444	1.004330653	3.923266912	3.979818083	1.951326653	7.180195182
AC002076	3.962246444	1.004330653	0.980816728	1.989909042	2.926989979	2.051484338
AC002115	0	0	0	0	0	0
AC002116	5.943369666	4.017322611	2.942450184	7.959636167	7.805306611	20.51484338
AC002117	1.981123222	0	1.961633456	2.984863563	3.902653305	3.077226507
AC002127	0	0	0	0	0	0
AC002128	0.990561611	1.004330653	0	0	0	0
AC002306	0	0	0	0	0	0
AC002310	2.971684833	8.034645222	11.76980074	25.86881754	14.63494989	8.205937351
AC002314	0	0	0.980816728	0	0	0
AC002331	0	0	0	0	0	0
AC002366	0	0	0	0	0	0
AC002368	0	0	0	0	0	0
AC002383	0	1.004330653	0	1.989909042	1.951326653	1.025742169
AC002386	0	0	0	0	0	0
AC002398	23.77347866	24.10393567	22.55878475	24.87386302	18.5376032	18.46335904
AC002400	0	0	0	0	0	0
AC002401	0	0	0	0	0	0
AC002429	0	0	0	0	0.975663326	0
AC002451	1.981123222	1.004330653	0.980816728	0.994954521	0.975663326	2.051484338
AC002454	5.943369666	6.025983917	4.90408364	8.954590688	4.878316632	8.205937351
AC002456	8.915054498	8.034645222	14.71225092	12.93440877	8.780969937	12.30890603
AC002463	0	0	0	0	0	0
AC002465	0	0	0	0	0	0
AC002467	38.63190283	49.21220199	48.06001968	65.66699838	41.95352303	43.08117109
AC002472	0.990561611	1.004330653	0	0	0	0
AC002480	1.981123222	2.008661306	0	17.90918138	12.68362324	15.38613253
AC002486	0	0	0.980816728	0	0	0
AC002511	0	0	0	0	0	0
AC002519	0.990561611	2.008661306	0	0.994954521	0	0
AC002523	0	0	0	0	0	0
AC002539	0	0	0	0	0	0
AC002542	0	0	0	0	0	0
AC002543	0	0	0	0	0	0
AC002550	0	0	0	0	0	0
AC002551	0	0	0	0	0	0
AC002553	0	0	0	0	0	0
AC002984	0	0	0.980816728	0	0	0
AC002985	0	0	0	0	0	0
AC003002	0.990561611	2.008661306	0.980816728	1.989909042	1.951326653	3.077226507
AC003003	0	0	0	0	0	0
AC003005	0	0	0	0	0	0
AC003006	0	0	0	0	0	0
AC003009	1.981123222	0	0	0	0	0
AC003045	0	0	0	0	0	0
AC003075	8.915054498	6.025983917	11.76980074	18.9041359	7.805306611	13.3346482
AC003080	1.981123222	0	0.980816728	0.994954521	1.951326653	0
AC003084	0	0	0	0	0	0
AC003088	0.990561611	1.004330653	0.980816728	0	1.951326653	4.102968675
AC003090	1.981123222	2.008661306	1.961633456	0.994954521	1.951326653	2.051484338
AC003092	1.981123222	3.012991958	3.923266912	3.979818083	1.951326653	4.102968675
AC003104	0	2.008661306	0.980816728	0	0	0
AC003664	0.990561611	0	0	0	0	1.025742169
AC003682	0.990561611	1.004330653	0.980816728	1.989909042	0.975663326	5.128710844
AC003956	1.981123222	1.004330653	0.980816728	1.989909042	0.975663326	1.025742169
AC003958	0.990561611	1.004330653	0	0	0	0
AC003973	0	0	0	0	0	0
AC003984	0	0	0	0	0	0
AC003985	0	0	0	0	0	0
AC003986	3.962246444	1.004330653	1.961633456	3.979818083	3.902653305	2.051484338
AC003988	0	0	0	0	0	0
AC003989	0	0	0	0.994954521	0	0
AC003991	0	0	0	0	0.975663326	0
AC004004	0	0	0	0	0	0
AC004006	0	0	0	0	0	0
AC004009	0	0	0	0	0	0
AC004012	3.962246444	1.004330653	0	0.994954521	0.975663326	1.025742169
AC004014	0	0	0	0	0	0
AC004019	1.981123222	2.008661306	1.961633456	0.994954521	0.975663326	1.025742169
AC004022	0	0	0	0	0	0
AC004051	0	0	0	0	0	0
AC004053	0	0	0	0.994954521	0.975663326	0
AC004054	0	0	0	0	0	0
AC004057	0	0	0	0	0	0
AC004062	0	0	0	0	0	0
AC004063	0	0	0	0	0	0
AC004066	0	0	0	0	0	0
AC004067	0	0	1.961633456	1.989909042	0	0
AC004069	5.943369666	7.03031457	2.942450184	3.979818083	4.878316632	2.051484338
AC004070	0	0	0	0	0	0
AC004074	0	0	0	0	0	0
AC004076	0	2.008661306	0.980816728	0.994954521	1.951326653	1.025742169
AC004112	0.990561611	4.017322611	0.980816728	0	2.926989979	1.025742169
AC004125	0	0	0	0	0	0
AC004129	0.990561611	0	0.980816728	0	0.975663326	0
AC004156	0.990561611	6.025983917	3.923266912	4.974772604	6.829643284	5.128710844
AC004158	0	0	0	0	0	0
AC004160	0	0	0	0	0	0
AC004221	5.943369666	2.008661306	2.942450184	4.974772604	0.975663326	5.128710844
AC004231	0	0	0	0	0	0
AC004237	0	2.008661306	0	0	0	0
AC004257	0	0	0	0	0	0
AC004381	90.14110659	95.41141202	91.21595571	153.2229962	180.4977154	182.5821061
AC004383	0	0	0	0	1.951326653	0
AC004386	0.990561611	0	0.980816728	2.984863563	1.951326653	1.025742169
AC004448	0	0	0	0	0	0
AC004449	0	2.008661306	1.961633456	0.994954521	2.926989979	4.102968675
AC004453	85.18829854	64.27716178	79.44615498	92.53077044	91.71235267	90.26531086
AC004461	0	1.004330653	0.980816728	0	0	0
AC004471	2.971684833	1.004330653	3.923266912	1.989909042	1.951326653	3.077226507
AC004485	0	0	0	0	0	0
AC004490	0	0	0.980816728	0	0	0
AC004510	1.981123222	0	3.923266912	0.994954521	1.951326653	3.077226507
AC004535	0	0	0	0	0	0
AC004538	0	0	1.961633456	0	2.926989979	0
AC004540	17.830109	24.10393567	22.55878475	18.9041359	17.56193987	16.4118747
AC004543	0	0	0	0	0	0
AC004549	0	1.004330653	0	0	0	1.025742169
AC004593	2.971684833	5.021653264	0	0	0	1.025742169
AC004603	0	0	0	0	0	0
AC004623	0	0	0	0	0	0
AC004637	22.78291705	11.04763718	19.61633456	0	0	1.025742169
AC004691	0	0	0	0.994954521	0	0
AC004692	0.990561611	2.008661306	1.961633456	0	0.975663326	0
AC004702	0	0	0	0	0	0
AC004744	0	0	0	0	0	0
AC004754	0	0	0	0	0	0
AC004775	0	0	0	0	0	0
AC004791	0.990561611	0	0	0	0	1.025742169
AC004837	0	0	0	1.989909042	2.926989979	2.051484338
AC004840	0	0	0	0	0.975663326	0
AC004854	1.981123222	2.008661306	1.961633456	0.994954521	2.926989979	1.025742169
AC004862	0	0	0	0	0	0
AC004866	0	0	0	0	0	0
AC004869	0	0	0	0	0	0
AC004870	0	2.008661306	0	1.989909042	0	0
AC004893	59.43369666	57.24684721	44.13675276	51.73763508	51.71015629	53.33859278
AC004895	0	2.008661306	0	0	4.878316632	2.051484338
AC004899	0	0	0	0	0	0
AC004901	0	0	0	0	0	0
AC004906	0.990561611	0	0	0	0	0
AC004911	0	0	0	0	0	0
AC004920	0	0	0	0.994954521	0.975663326	0
AC004938	0	0	0	0	0	0
AC004941	0	0	0	0	0	0
AC004945	0.990561611	0	0	0	0	1.025742169
AC004947	0	0	0	0	0	0
AC004951	6.933931276	4.017322611	0.980816728	0.994954521	7.805306611	3.077226507
AC004967	474.4790116	423.8275355	455.0989618	553.1947136	587.3493224	621.5997543
AC004980	92.12222982	117.5066864	93.17758917	111.4349063	102.4446493	115.9088651
AC004985	0	0	0.980816728	0	0	0
AC004987	0	2.008661306	0.980816728	0	0.975663326	0
AC004988	0.990561611	1.004330653	1.961633456	0	0	0
AC005008	0	0	0	0	0	0
AC005009	0.990561611	2.008661306	1.961633456	0	0	1.025742169
AC005013	0.990561611	0	0	0	0	0
AC005014	0	3.012991958	0.980816728	0	0.975663326	0
AC005017	0.990561611	0	0.980816728	0	0	0
AC005019	2.971684833	1.004330653	1.961633456	1.989909042	0.975663326	2.051484338
AC005033	0	0	0	0	0	0
AC005034	0	0	0	0	0	0
AC005037	0.990561611	2.008661306	1.961633456	0.994954521	1.951326653	2.051484338
AC005040	0	0	0	0	0	0
AC005041	0	0	0	0	0	0
AC005042	4.952808055	0	0	0	0.975663326	9.23167952
AC005062	0	0	0	0	0	0
AC005076	17.830109	17.0736211	8.827350553	17.90918138	22.44025651	31.79800723
AC005077	8.915054498	7.03031457	4.90408364	7.959636167	7.805306611	12.30890603
AC005082	0	0	0	0	0	0
AC005083	0.990561611	2.008661306	0	0.994954521	1.951326653	1.025742169
AC005094	0	0	0	0	0	0
AC005102	0	0	0	0	0	0
AC005104	0.990561611	4.017322611	4.90408364	0	0.975663326	0
AC005105	0	0	0	0	0	0
AC005150	0	0	0	0	0.975663326	0
AC005152	0.990561611	3.012991958	3.923266912	2.984863563	7.805306611	1.025742169
AC005154	360.5644264	410.771237	362.9021894	214.9101765	181.4733787	195.9167543
AC005160	0	0	0	0	0	0
AC005162	0	0	0	0	0	0
AC005176	0	0	0	0	0	0
AC005178	0	0	0	0	0	0
AC005189	0	0	0	0	0	0
AC005197	0	0	0	0.994954521	1.951326653	2.051484338
AC005220	0.990561611	1.004330653	0.980816728	0	0	0
AC005224	11.88673933	4.017322611	8.827350553	7.959636167	11.70795992	13.3346482
AC005229	1.981123222	0	0.980816728	2.984863563	0	0
AC005235	0	0	0	0	0	0
AC005237	0	0	0	0.994954521	0.975663326	0
AC005251	0.990561611	1.004330653	3.923266912	3.979818083	5.853979958	4.102968675
AC005253	32.68853316	35.15157285	42.17511931	40.79313535	50.73449297	29.7465229
AC005255	0	1.004330653	1.961633456	0.994954521	4.878316632	4.102968675
AC005256	12.87730094	8.034645222	34.32858548	22.88395398	14.63494989	24.61781205
AC005262	0.990561611	1.004330653	0.980816728	0.994954521	1.951326653	0
AC005264	2.971684833	3.012991958	4.90408364	1.989909042	3.902653305	2.051484338
AC005276	0	0	0	0	0	0
AC005281	0	0	0	0	0	4.102968675
AC005300	0	1.004330653	0	2.984863563	0	0
AC005301	0	0	0	0	0	0
AC005304	0	0	0	0	0	0
AC005306	1.981123222	6.025983917	7.846533825	2.984863563	3.902653305	4.102968675
AC005307	0.990561611	2.008661306	0	0.994954521	0	0
AC005324	0	0	0	0	0	0
AC005329	3.962246444	8.034645222	2.942450184	0	0.975663326	2.051484338
AC005330	1.981123222	2.008661306	1.961633456	13.92936329	9.756633263	19.48910121
AC005336	0	1.004330653	0	2.984863563	4.878316632	3.077226507
AC005339	0	0	0	0	0	0
AC005351	0	0	0	0.994954521	0	1.025742169
AC005355	76.27324404	95.41141202	108.8706568	160.1876779	152.2034789	148.7326145
AC005357	0	0	0	0	0	0
AC005358	0	0	0	0	0.975663326	0
AC005363	0	0	0	0	0	0
AC005387	7.924492887	4.017322611	6.865717097	6.964681646	4.878316632	5.128710844
AC005391	0	0	0	0	0	0
AC005392	0	0	0	0	0	0
AC005394	0	0	0	0	0	0
AC005481	0	0	0	0	0	0
AC005487	0	0	0	0	0	0
AC005488	0	0	0	0	0	0
AC005498	6.933931276	5.021653264	8.827350553	4.974772604	10.73229659	5.128710844
AC005517	0.990561611	2.008661306	1.961633456	3.979818083	5.853979958	1.025742169
AC005518	0	0	0	0	0	0
AC005519	0.990561611	3.012991958	1.961633456	3.979818083	1.951326653	3.077226507
AC005522	0	0	0	0	0	0
AC005523	8.915054498	9.038975875	18.63551783	14.92431781	25.36724648	12.30890603
AC005532	5.943369666	9.038975875	5.884900369	4.974772604	7.805306611	11.28316386
AC005534	6.933931276	4.017322611	3.923266912	3.979818083	5.853979958	6.154453013
AC005537	9.905616109	2.008661306	3.923266912	8.954590688	5.853979958	6.154453013
AC005538	0	0	0	0	0	0
AC005539	0	0	0	0	0	0
AC005540	0.990561611	5.021653264	1.961633456	1.989909042	7.805306611	5.128710844
AC005546	0.990561611	0	1.961633456	0	0.975663326	0
AC005550	19.81123222	16.06929044	12.75061747	19.89909042	9.756633263	11.28316386
AC005559	0	0	0	0	0	0
AC005562	22.78291705	14.06062914	11.76980074	12.93440877	13.65928657	20.51484338
AC005588	0	0	0	0	0	0
AC005592	50.51864216	36.1559035	44.13675276	47.757817	52.68581962	49.23562411
AC005597	0	0	0	0	0	0
AC005606	0	0	0	0	0	0
AC005609	0	0	0	0	0	0
AC005614	0	1.004330653	0	0.994954521	0	0
AC005616	0	0	0	0	0	0
AC005618	69.33931276	48.20787133	52.96410332	31.83854467	34.14821642	25.64355422
AC005624	1.981123222	1.004330653	0.980816728	0.994954521	1.951326653	2.051484338
AC005625	0	2.008661306	0	0	0.975663326	0
AC005626	0	0	0	0	0	0
AC005682	1.981123222	1.004330653	0.980816728	0	0	2.051484338
AC005703	0	1.004330653	0	0	0	0
AC005722	0	0	0.980816728	0	0	0
AC005730	0	0	0	0	0	0
AC005740	3.962246444	9.038975875	8.827350553	5.969727125	6.829643284	2.051484338
AC005741	0	0	0	0	0	0
AC005754	2.971684833	6.025983917	5.884900369	0.994954521	3.902653305	1.025742169
AC005757	0	0	0	0	0	0
AC005758	0	0	0	0	0	0
AC005772	0	0	0	0	0	0
AC005775	4.952808055	4.017322611	0.980816728	0.994954521	0.975663326	2.051484338
AC005776	0	0	0.980816728	0	0	0
AC005777	0	0	0	0	0	0
AC005779	0	0	0	0	0	0
AC005780	0	0	0	0	0	0
AC005785	3.962246444	13.05629849	7.846533825	7.959636167	5.853979958	8.205937351
AC005786	0.990561611	2.008661306	1.961633456	1.989909042	0	0
AC005789	0	0	0	0	0	0
AC005794	0	0	0	0	0	0
AC005795	2.971684833	7.03031457	1.961633456	0.994954521	7.805306611	5.128710844
AC005808	0	0	0	0	0	0
AC005822	0.990561611	0	0.980816728	1.989909042	0	0
AC005838	0	0	0	0	0	0
AC005863	0	0	0	0	0	0
AC005932	9.905616109	3.012991958	6.865717097	7.959636167	12.68362324	2.051484338
AC005943	0	0	0	0	0	0
AC005944	0	0	0	0	0	0
AC005954	0.990561611	0	0	0.994954521	0	0
AC006000	0	0	0	0	0	2.051484338
AC006003	0	0	0	0	0	0
AC006004	0	0	0	0.994954521	0	0
AC006007	0	0	0	0	0	0
AC006011	0	0	0	0	0	0
AC006014	0	0	0	0	0	0
AC006019	0	0	0	0	0	1.025742169
AC006022	0	0	0	0	0	0
AC006026	0	2.008661306	0.980816728	0	0.975663326	6.154453013
AC006028	0.990561611	0	1.961633456	0	0	0
AC006033	0	0	0	0	0	1.025742169
AC006037	0	0	0	0	0	0
AC006041	0	0	0	0	0	0
AC006042	4.952808055	4.017322611	1.961633456	2.984863563	2.926989979	6.154453013
AC006050	0	0	0	0	0	0
AC006070	0	0	0	0	0	0
AC006076	0	0	0	0	0	0
AC006077	0	0	0	0	0	0
AC006115	0	0	0	0	0	0
AC006116	5.943369666	5.021653264	6.865717097	5.969727125	8.780969937	4.102968675
AC006126	0	0	1.961633456	0	0	0
AC006129	0.990561611	0	1.961633456	1.989909042	0.975663326	3.077226507
AC006130	0	1.004330653	0	0	0	0
AC006133	0	0	0	0	0	0
AC006145	0	0	0	0	0	0
AC006150	0	0	0	0	0	0
AC006153	0	0	0	0	0	0
AC006159	0	1.004330653	0	0	0	0
AC006160	2.971684833	1.004330653	2.942450184	8.954590688	0.975663326	1.025742169
AC006195	0	0	0	0.994954521	0	0
AC006196	0	0	0	0	0	0
AC006227	0	0	0	0	0	0
AC006262	257.5460188	257.1086471	253.0507158	76.6114981	123.9092424	129.2435133
AC006272	0	0	0	0	0	0
AC006273	23.77347866	29.12558893	18.63551783	45.76790796	28.29423646	43.08117109
AC006277	0	0	0	0	0	0
AC006296	0	0	0	0	0	0
AC006326	0	0	0	0	0	0
AC006328	0	0	0	0	0	0
AC006335	0	0	0	0	0	0
AC006355	0	0	0	0	0	0
